tran_sequence_number,transaction_datetime_id
TXN20250213000001,DT_20250213_203948
TXN20250218000002,DT_20250218_182431
TXN20250305000003,DT_20250305_024816
TXN20250320000004,DT_20250320_014012
TXN20250127000005,DT_20250127_034329
TXN20250208000006,DT_20250208_230448
TXN20250314000007,DT_20250314_055053
TXN20250116000008,DT_20250116_232315
TXN20250319000009,DT_20250319_044040
TXN20250218000010,DT_20250218_150740
TXN20250225000011,DT_20250225_134002
TXN20250119000012,DT_20250119_200118
TXN20250131000013,DT_20250131_085047
TXN20250228000014,DT_20250228_112620
TXN20250106000015,DT_20250106_183034
TXN20250217000016,DT_20250217_071620
TXN20250222000017,DT_20250222_094002
TXN20250313000018,DT_20250313_070922
TXN20250328000019,DT_20250328_152128
TXN20250215000020,DT_20250215_083739
TXN20250222000021,DT_20250222_023727
TXN20250106000022,DT_20250106_125633
TXN20250117000023,DT_20250117_112617
TXN20250316000024,DT_20250316_231500
TXN20250225000025,DT_20250225_043438
TXN20250120000026,DT_20250120_022649
TXN20250127000027,DT_20250127_105625
TXN20250225000028,DT_20250225_134419
TXN20250327000029,DT_20250327_034227
TXN20250306000030,DT_20250306_205047
TXN20250303000031,DT_20250303_112913
TXN20250319000032,DT_20250319_124808
TXN20250223000033,DT_20250223_092952
TXN20250204000034,DT_20250204_032536
TXN20250112000035,DT_20250112_165039
TXN20250126000036,DT_20250126_160021
TXN20250117000037,DT_20250117_030151
TXN20250124000038,DT_20250124_215148
TXN20250226000039,DT_20250226_020757
TXN20250330000040,DT_20250330_192757
TXN20250304000041,DT_20250304_003240
TXN20250130000042,DT_20250130_002634
TXN20250314000043,DT_20250314_121841
TXN20250202000044,DT_20250202_012540
TXN20250212000045,DT_20250212_071106
TXN20250223000046,DT_20250223_195640
TXN20250210000047,DT_20250210_234824
TXN20250320000048,DT_20250320_015700
TXN20250218000049,DT_20250218_083541
TXN20250221000050,DT_20250221_082724
TXN20250331000051,DT_20250331_221053
TXN20250214000052,DT_20250214_092042
TXN20250307000053,DT_20250307_062448
TXN20250115000054,DT_20250115_015213
TXN20250324000055,DT_20250324_072338
TXN20250312000056,DT_20250312_114710
TXN20250116000057,DT_20250116_002010
TXN20250322000058,DT_20250322_221209
TXN20250316000059,DT_20250316_062905
TXN20250214000060,DT_20250214_055808
TXN20250318000061,DT_20250318_143056
TXN20250321000062,DT_20250321_163537
TXN20250314000063,DT_20250314_213506
TXN20250320000064,DT_20250320_122028
TXN20250324000065,DT_20250324_073223
TXN20250325000066,DT_20250325_064337
TXN20250130000067,DT_20250130_094802
TXN20250101000068,DT_20250101_234146
TXN20250218000069,DT_20250218_172225
TXN20250204000070,DT_20250204_073729
TXN20250321000071,DT_20250321_205616
TXN20250322000072,DT_20250322_101535
TXN20250110000073,DT_20250110_114021
TXN20250126000074,DT_20250126_174722
TXN20250121000075,DT_20250121_160455
TXN20250107000076,DT_20250107_005947
TXN20250217000077,DT_20250217_055451
TXN20250319000078,DT_20250319_172309
TXN20250131000079,DT_20250131_032250
TXN20250217000080,DT_20250217_215854
TXN20250214000081,DT_20250214_184024
TXN20250130000082,DT_20250130_135323
TXN20250214000083,DT_20250214_103637
TXN20250227000084,DT_20250227_085554
TXN20250305000085,DT_20250305_191357
TXN20250227000086,DT_20250227_130206
TXN20250130000087,DT_20250130_185054
TXN20250317000088,DT_20250317_131737
TXN20250308000089,DT_20250308_125534
TXN20250203000090,DT_20250203_053656
TXN20250330000091,DT_20250330_082521
TXN20250109000092,DT_20250109_021905
TXN20250202000093,DT_20250202_161508
TXN20250211000094,DT_20250211_040655
TXN20250101000095,DT_20250101_021337
TXN20250113000096,DT_20250113_121833
TXN20250122000097,DT_20250122_220809
TXN20250112000098,DT_20250112_060603
TXN20250117000099,DT_20250117_093713
TXN20250322000100,DT_20250322_042204
TXN20250324000101,DT_20250324_172445
TXN20250317000102,DT_20250317_190638
TXN20250120000103,DT_20250120_133547
TXN20250302000104,DT_20250302_082547
TXN20250105000105,DT_20250105_160939
TXN20250213000106,DT_20250213_113505
TXN20250224000107,DT_20250224_070427
TXN20250303000108,DT_20250303_062729
TXN20250323000109,DT_20250323_233803
TXN20250124000110,DT_20250124_171314
TXN20250123000111,DT_20250123_160021
TXN20250222000112,DT_20250222_020021
TXN20250210000113,DT_20250210_104913
TXN20250312000114,DT_20250312_130733
TXN20250118000115,DT_20250118_153652
TXN20250322000116,DT_20250322_143042
TXN20250323000117,DT_20250323_000837
TXN20250226000118,DT_20250226_054756
TXN20250109000119,DT_20250109_053527
TXN20250311000120,DT_20250311_005034
TXN20250113000121,DT_20250113_002309
TXN20250329000122,DT_20250329_205738
TXN20250201000123,DT_20250201_045854
TXN20250223000124,DT_20250223_180152
TXN20250212000125,DT_20250212_134407
TXN20250313000126,DT_20250313_084403
TXN20250218000127,DT_20250218_202347
TXN20250118000128,DT_20250118_161638
TXN20250326000129,DT_20250326_010018
TXN20250309000130,DT_20250309_040517
TXN20250202000131,DT_20250202_191522
TXN20250209000132,DT_20250209_022415
TXN20250111000133,DT_20250111_123549
TXN20250211000134,DT_20250211_103827
TXN20250331000135,DT_20250331_122610
TXN20250307000136,DT_20250307_023138
TXN20250301000137,DT_20250301_144807
TXN20250227000138,DT_20250227_051124
TXN20250323000139,DT_20250323_173046
TXN20250214000140,DT_20250214_160723
TXN20250306000141,DT_20250306_053225
TXN20250204000142,DT_20250204_172122
TXN20250112000143,DT_20250112_072309
TXN20250116000144,DT_20250116_004304
TXN20250116000145,DT_20250116_132939
TXN20250119000146,DT_20250119_085430
TXN20250215000147,DT_20250215_082345
TXN20250315000148,DT_20250315_232347
TXN20250325000149,DT_20250325_140143
TXN20250227000150,DT_20250227_212518
TXN20250304000151,DT_20250304_172255
TXN20250112000152,DT_20250112_160103
TXN20250309000153,DT_20250309_073832
TXN20250330000154,DT_20250330_103522
