tran_sequence_number,merchant_id
TXN20250213000001,MES00100
TXN20250218000002,MSG00176
TXN20250305000003,MJP00125
TXN20250320000004,MES00025
TXN20250127000005,MFR00122
TXN20250208000006,MUS00055
TXN20250314000007,MFR00192
TXN20250116000008,MGB00168
TXN20250319000009,MCA00093
TXN20250218000010,MGB00054
TXN20250225000011,MES00062
TXN20250119000012,MUS00057
TXN20250131000013,MCA00101
TXN20250228000014,MES00025
TXN20250106000015,MIN00021
TXN20250217000016,MUS00142
TXN20250222000017,MDE00155
TXN20250313000018,MCA00081
TXN20250328000019,MSG00033
TXN20250215000020,MGB00188
TXN20250222000021,MHK00053
TXN20250106000022,MCA00209
TXN20250117000023,MAE00076
TXN20250316000024,MIN00017
TXN20250225000025,MFR00072
TXN20250120000026,MJP00157
TXN20250127000027,MAU00206
TXN20250225000028,MCA00143
TXN20250327000029,MIN00017
TXN20250306000030,MDE00111
TXN20250303000031,MIN00082
TXN20250319000032,MGB00163
TXN20250223000033,MUS00130
TXN20250204000034,MDE00074
TXN20250112000035,MFR00122
TXN20250126000036,MGB00145
TXN20250117000037,MES00087
TXN20250124000038,MGB00094
TXN20250226000039,MIN00115
TXN20250330000040,MFR00015
TXN20250304000041,MNL00051
TXN20250130000042,MHK00053
TXN20250314000043,MGB00163
TXN20250202000044,MDE00134
TXN20250212000045,MGB00064
TXN20250223000046,MUS00086
TXN20250210000047,MIN00082
TXN20250320000048,MAU00098
TXN20250218000049,MUS00012
TXN20250221000050,MES00062
TXN20250331000051,MAU00060
TXN20250214000052,MAE00035
TXN20250307000053,MJP00088
TXN20250115000054,MUS00077
TXN20250324000055,MNL00078
TXN20250312000056,MDE00071
TXN20250116000057,MUS00179
TXN20250322000058,MCA00093
TXN20250316000059,MES00092
TXN20250214000060,MHK00010
TXN20250318000061,MDE00146
TXN20250321000062,MAE00090
TXN20250314000063,MHK00151
TXN20250320000064,MCA00068
TXN20250324000065,MJP00026
TXN20250325000066,MAU00085
TXN20250130000067,MCA00143
TXN20250101000068,MDE00181
TXN20250218000069,MJP00121
TXN20250204000070,MUS00077
TXN20250321000071,MGB00069
TXN20250322000072,MCA00196
TXN20250110000073,MUS00047
TXN20250126000074,MUS00139
TXN20250121000075,MIN00187
TXN20250107000076,MIN00082
TXN20250217000077,MGB00199
TXN20250319000078,MUS00086
TXN20250131000079,MCA00101
TXN20250217000080,MHK00151
TXN20250214000081,MCA00081
TXN20250130000082,MAU00056
TXN20250214000083,MUS00139
TXN20250227000084,MJP00121
TXN20250305000085,MUS00117
TXN20250227000086,MDE00071
TXN20250130000087,MUS00059
TXN20250317000088,MCA00194
TXN20250308000089,MGB00145
TXN20250203000090,MGB00046
TXN20250330000091,MUS00059
TXN20250109000092,MSG00070
TXN20250202000093,MGB00043
TXN20250211000094,MCA00016
TXN20250101000095,MCA00143
TXN20250113000096,MHK00159
TXN20250122000097,MES00092
TXN20250112000098,MFR00192
TXN20250117000099,MUS00079
TXN20250322000100,MNL00167
TXN20250324000101,MIN00021
TXN20250317000102,MNL00167
TXN20250120000103,MSG00033
TXN20250302000104,MCA00099
TXN20250105000105,MDE00146
TXN20250213000106,MNL00109
TXN20250224000107,MNL00109
TXN20250303000108,MCA00063
TXN20250323000109,MUS00023
TXN20250124000110,MCA00068
TXN20250123000111,MES00058
TXN20250222000112,MGB00094
TXN20250210000113,MAU00075
