transaction_datetime_id,transaction_date,transaction_time,day_of_week,month,hour_of_day,is_weekend
DT_20250101_004753,2025-01-01,00:47:53,Wednesday,2025-01,00,false
DT_20250101_004841,2025-01-01,00:48:41,Wednesday,2025-01,00,false
DT_20250101_011022,2025-01-01,01:10:22,Wednesday,2025-01,01,false
DT_20250101_014142,2025-01-01,01:41:42,Wednesday,2025-01,01,false
DT_20250101_015057,2025-01-01,01:50:57,Wednesday,2025-01,01,false
DT_20250101_015904,2025-01-01,01:59:04,Wednesday,2025-01,01,false
DT_20250101_015925,2025-01-01,01:59:25,Wednesday,2025-01,01,false
DT_20250101_021337,2025-01-01,02:13:37,Wednesday,2025-01,02,false
DT_20250101_022626,2025-01-01,02:26:26,Wednesday,2025-01,02,false
DT_20250101_040317,2025-01-01,04:03:17,Wednesday,2025-01,04,false
DT_20250101_041958,2025-01-01,04:19:58,Wednesday,2025-01,04,false
DT_20250101_044105,2025-01-01,04:41:05,Wednesday,2025-01,04,false
DT_20250101_051503,2025-01-01,05:15:03,Wednesday,2025-01,05,false
DT_20250101_053516,2025-01-01,05:35:16,Wednesday,2025-01,05,false
DT_20250101_061401,2025-01-01,06:14:01,Wednesday,2025-01,06,false
DT_20250101_061947,2025-01-01,06:19:47,Wednesday,2025-01,06,false
DT_20250101_075312,2025-01-01,07:53:12,Wednesday,2025-01,07,false
DT_20250101_080644,2025-01-01,08:06:44,Wednesday,2025-01,08,false
DT_20250101_082412,2025-01-01,08:24:12,Wednesday,2025-01,08,false
DT_20250101_085031,2025-01-01,08:50:31,Wednesday,2025-01,08,false
DT_20250101_090515,2025-01-01,09:05:15,Wednesday,2025-01,09,false
DT_20250101_091253,2025-01-01,09:12:53,Wednesday,2025-01,09,false
DT_20250101_101706,2025-01-01,10:17:06,Wednesday,2025-01,10,false
DT_20250101_102646,2025-01-01,10:26:46,Wednesday,2025-01,10,false
DT_20250101_103751,2025-01-01,10:37:51,Wednesday,2025-01,10,false
DT_20250101_113624,2025-01-01,11:36:24,Wednesday,2025-01,11,false
DT_20250101_114559,2025-01-01,11:45:59,Wednesday,2025-01,11,false
DT_20250101_120443,2025-01-01,12:04:43,Wednesday,2025-01,12,false
DT_20250101_121509,2025-01-01,12:15:09,Wednesday,2025-01,12,false
DT_20250101_122124,2025-01-01,12:21:24,Wednesday,2025-01,12,false
DT_20250101_132345,2025-01-01,13:23:45,Wednesday,2025-01,13,false
DT_20250101_133619,2025-01-01,13:36:19,Wednesday,2025-01,13,false
DT_20250101_133654,2025-01-01,13:36:54,Wednesday,2025-01,13,false
DT_20250101_140047,2025-01-01,14:00:47,Wednesday,2025-01,14,false
DT_20250101_141715,2025-01-01,14:17:15,Wednesday,2025-01,14,false
DT_20250101_143408,2025-01-01,14:34:08,Wednesday,2025-01,14,false
DT_20250101_161523,2025-01-01,16:15:23,Wednesday,2025-01,16,false
DT_20250101_163730,2025-01-01,16:37:30,Wednesday,2025-01,16,false
DT_20250101_170407,2025-01-01,17:04:07,Wednesday,2025-01,17,false
DT_20250101_175313,2025-01-01,17:53:13,Wednesday,2025-01,17,false
DT_20250101_175903,2025-01-01,17:59:03,Wednesday,2025-01,17,false
DT_20250101_184459,2025-01-01,18:44:59,Wednesday,2025-01,18,false
DT_20250101_185915,2025-01-01,18:59:15,Wednesday,2025-01,18,false
DT_20250101_190534,2025-01-01,19:05:34,Wednesday,2025-01,19,false
DT_20250101_192442,2025-01-01,19:24:42,Wednesday,2025-01,19,false
DT_20250101_193009,2025-01-01,19:30:09,Wednesday,2025-01,19,false
DT_20250101_195338,2025-01-01,19:53:38,Wednesday,2025-01,19,false
DT_20250101_201642,2025-01-01,20:16:42,Wednesday,2025-01,20,false
DT_20250101_203527,2025-01-01,20:35:27,Wednesday,2025-01,20,false
DT_20250101_203533,2025-01-01,20:35:33,Wednesday,2025-01,20,false
DT_20250101_213453,2025-01-01,21:34:53,Wednesday,2025-01,21,false
DT_20250101_223522,2025-01-01,22:35:22,Wednesday,2025-01,22,false
DT_20250101_234146,2025-01-01,23:41:46,Wednesday,2025-01,23,false
DT_20250101_234638,2025-01-01,23:46:38,Wednesday,2025-01,23,false
DT_20250102_002304,2025-01-02,00:23:04,Thursday,2025-01,00,false
DT_20250102_005604,2025-01-02,00:56:04,Thursday,2025-01,00,false
DT_20250102_012407,2025-01-02,01:24:07,Thursday,2025-01,01,false
DT_20250102_015653,2025-01-02,01:56:53,Thursday,2025-01,01,false
