tran_sequence_number,Transaction_Amount,userid,transaction_time,transaction_date,transaction_currency_code,merchant_name,merchant_city,merchant_id,card_type,latitude,longitude,merchant_category_code,merchant_country_code,merchant_country,merchant_region_code,ICA_code,issr_id,acquirer_id,transaction_narration
TXN20250213000001,1198.16,U000422,20:39:48,2025-02-13,EUR,ElectroHub Madrid 100,Madrid,MES00100,CREDIT,40.429462,-3.695912,5732,ES,Spain,EMEA,100100,ISSR_ES_145,ACQ_EMEA_502,"Electronics purchase at ElectroHub Madrid, Madrid — €1,198.16 via contactless on 13 Feb 2025."
TXN20250218000002,4478.88,U000809,18:24:31,2025-02-18,SGD,FinServe Online Singapore 176,Singapore,MSG00176,CREDIT,1.333992,103.824586,6012,SG,Singapore,APAC,100176,ISSR_SG_158,ACQ_APAC_703,"Fund transfer / payment: FinServe Online Singapore · Singapore · S$4,478.88 · 18 Feb 2025."
TXN20250305000003,29,U000720,02:48:16,2025-03-05,JPY,QuickBite Osaka 125,Osaka,MJP00125,CREDIT,34.696765,135.527323,5814,JP,Japan,APAC,100125,ISSR_JP_287,ACQ_APAC_703,¥29 food & beverage charge at QuickBite Osaka (Osaka) on 5 Mar 2025.
TXN20250320000004,1746.07,U000746,01:40:12,2025-03-20,EUR,FinServe Online Madrid 025,Madrid,MES00025,PREPAID,40.382492,-3.678951,6012,ES,Spain,EMEA,100025,ISSR_ES_241,ACQ_EMEA_502,"Fund transfer / payment: FinServe Online Madrid · Madrid · €1,746.07 · 20 Mar 2025."
TXN20250127000005,33.02,U000839,03:43:29,2025-01-27,EUR,UrbanTable Paris 122,Paris,MFR00122,CREDIT,48.854608,2.319309,5812,FR,France,EMEA,100122,ISSR_FR_229,ACQ_EMEA_502,€33.02 food & beverage charge at UrbanTable Paris (Paris) on 27 Jan 2025.
TXN20250208000006,73.91,U000465,23:04:48,2025-02-08,USD,FreshMart San Francisco 055,San Francisco,MUS00055,DEBIT,37.79598,-122.3921,5411,US,United States,NA,100055,ISSR_US_205,ACQ_NA_403,$73.91 charged to your Debit card at FreshMart San Francisco (San Francisco) on 8 Feb 2025. Ref: WNNHJ7XV.
TXN20250314000007,3894.68,U000818,05:50:53,2025-03-14,EUR,EduPrime Paris 192,Paris,MFR00192,CREDIT,48.864966,2.36975,8220,FR,France,EMEA,100192,ISSR_FR_229,ACQ_EMEA_501,"Education payment to EduPrime Paris, Paris — €3,894.68 on 14 Mar 2025. Invoice: TIQJ7YHL."
TXN20250116000008,66.67,U000583,23:23:15,2025-01-16,GBP,MetroFuel London 168,London,MGB00168,CREDIT,51.545242,-0.123604,5541,GB,United Kingdom,EMEA,100168,ISSR_GB_118,ACQ_EMEA_501,£66.67 Credit payment at MetroFuel London (London) fuel station.
TXN20250319000009,22.92,U000818,04:40:40,2025-03-19,CAD,QuickBite Toronto 093,Toronto,MCA00093,DEBIT,43.635212,-79.388816,5814,CA,Canada,NA,100093,ISSR_CA_214,ACQ_NA_401,CA$22.92 food & beverage charge at QuickBite Toronto (Toronto) on 19 Mar 2025.
TXN20250218000010,763.16,U000030,15:07:40,2025-02-18,GBP,ElectroHub Manchester 054,Manchester,MGB00054,CREDIT,53.447484,-2.226894,5732,GB,United Kingdom,EMEA,100054,ISSR_GB_224,ACQ_EMEA_502,Consumer electronics: ElectroHub Manchester · Manchester · £763.16 · 18 Feb 2025. Ref: PVN9ER14.
TXN20250225000011,1185.21,U000622,13:40:02,2025-02-25,EUR,ElectroHub Madrid 062,Madrid,MES00062,CREDIT,40.450681,-3.73988,5732,ES,Spain,EMEA,100062,ISSR_ES_145,ACQ_EMEA_503,"Electronics purchase at ElectroHub Madrid, Madrid — €1,185.21 via chip & PIN on 25 Feb 2025."
TXN20250119000012,53.09,U000100,20:01:18,2025-01-19,USD,UrbanTable New York 057,New York,MUS00057,PREPAID,40.687076,-73.966164,5812,US,United States,NA,100057,ISSR_US_319,ACQ_NA_401,"Food & drink purchase at UrbanTable New York, New York — $53.09 — 19 Jan 2025. Ref: ZYTJXE."
TXN20250131000013,5999.48,U000383,08:50:47,2025-01-31,CAD,EduPrime Toronto 101,Toronto,MCA00101,CREDIT,43.687744,-79.422898,8220,CA,Canada,NA,100101,ISSR_CA_110,ACQ_NA_402,"CA$5,999.48 charged by EduPrime Toronto (Toronto) for educational services on 31 Jan 2025."
TXN20250228000014,609.1,U000615,11:26:20,2025-02-28,EUR,FinServe Online Madrid 025,Madrid,MES00025,PREPAID,40.439033,-3.673136,6012,ES,Spain,EMEA,100025,ISSR_ES_241,ACQ_EMEA_502,Financial services payment to FinServe Online Madrid (Madrid) — €609.10 on 28 Feb 2025. Ref: 4SHNF877VR.
TXN20250106000015,114.0,U000331,18:30:34,2025-01-06,INR,FreshMart Bengaluru 021,Bengaluru,MIN00021,DEBIT,12.976385,77.558458,5411,IN,India,APAC,100021,ISSR_IN_188,ACQ_APAC_703,"Grocery purchase at FreshMart Bengaluru, Bengaluru — INR114 via ATM withdrawal on 6 Jan 2025."
TXN20250217000016,1297.14,U000736,07:16:20,2025-02-17,USD,SkyJet Travel New York 142,New York,MUS00142,CREDIT,40.741086,-74.038573,4511,US,United States,NA,100142,ISSR_US_205,ACQ_NA_402,"Travel purchase — SkyJet Travel New York (New York): $1,297.14 on 17 Feb 2025 using Visa Credit. Ref: 9TEX8F."
TXN20250222000017,116.28,U000003,09:40:02,2025-02-22,EUR,MetroFuel Berlin 155,Berlin,MDE00155,DEBIT,52.514421,13.402543,5541,DE,Germany,EMEA,100155,ISSR_DE_238,ACQ_EMEA_502,€116.28 Debit payment at MetroFuel Berlin (Berlin) fuel station.
TXN20250313000018,9.61,U000680,07:09:22,2025-03-13,CAD,StreamSphere Vancouver 081,Vancouver,MCA00081,CREDIT,49.25995,-123.124053,4899,CA,Canada,NA,100081,ISSR_CA_214,ACQ_NA_403,Digital subscription charge from StreamSphere Vancouver (Vancouver) — CA$9.61 on 13 Mar 2025.
TXN20250328000019,58.31,U000530,15:21:28,2025-03-28,SGD,UrbanTable Singapore 033,Singapore,MSG00033,CREDIT,1.338599,103.794726,5812,SG,Singapore,APAC,100033,ISSR_SG_158,ACQ_APAC_703,"Dining at UrbanTable Singapore, Singapore — S$58.31 via swipe on 28 Mar 2025."
TXN20250215000020,28.03,U000035,08:37:39,2025-02-15,GBP,QuickBite London 188,London,MGB00188,CREDIT,51.475139,-0.129657,5814,GB,United Kingdom,EMEA,100188,ISSR_GB_118,ACQ_EMEA_501,"Food & drink purchase at QuickBite London, London — £28.03 — 15 Feb 2025. Ref: IYHE7U."
TXN20250222000021,13.23,U000487,02:37:27,2025-02-22,HKD,QuickBite Hong Kong 053,Hong Kong,MHK00053,PREPAID,22.317394,114.136281,5814,HK,Hong Kong,APAC,100053,ISSR_HK_181,ACQ_APAC_703,"Food & drink purchase at QuickBite Hong Kong, Hong Kong — HKD13.23 — 22 Feb 2025. Ref: 23GDPP."
