userid,transaction_count,total_spend,preferred_currency_code,dominant_region,dominant_card_type,favorite_category_text,dominant_time_of_day,dominant_day_type,spend_profile,top_risk_tags,user_text_summary
U000001,8,2905.37,JPY,APAC,credit card,digital subscription services,late-night,weekday,mid-value,"weekend spend, digital recurring, late-night activity","User U000001 shows a mid-value spending profile across 8 transactions totaling 2905.37 JPY. The user most often transacts in APAC with credit card payments, favors digital subscription services, and is most active during late-night weekday periods. Common patterns include weekend spend, digital recurring, late-night activity."
U000002,2,110.83,JPY,APAC,credit card,ride-hailing and local transport,evening,weekend,small-ticket,"weekend spend, everyday consumer spend","User U000002 shows a small-ticket spending profile across 2 transactions totaling 110.83 JPY. The user most often transacts in APAC with credit card payments, favors ride-hailing and local transport, and is most active during evening weekend periods. Common patterns include weekend spend, everyday consumer spend."
U000003,10,4916.19,INR,EMEA,debit card,fuel and convenience,late-night,weekday,mid-value,"late-night activity, weekend spend, everyday consumer spend","User U000003 shows a mid-value spending profile across 10 transactions totaling 4916.19 INR. The user most often transacts in EMEA with debit card payments, favors fuel and convenience, and is most active during late-night weekday periods. Common patterns include late-night activity, weekend spend, everyday consumer spend."
U000004,4,1762.0,EUR,EMEA,debit card,consumer electronics,late-night,weekday,mid-value,"everyday consumer spend, high-value, premium electronics","User U000004 shows a mid-value spending profile across 4 transactions totaling 1762.0 EUR. The user most often transacts in EMEA with debit card payments, favors consumer electronics, and is most active during late-night weekday periods. Common patterns include everyday consumer spend, high-value, premium electronics."
U000005,1,35.0,INR,APAC,prepaid card,pharmacy and wellness,late-night,weekend,small-ticket,"prepaid instrument, late-night activity, weekend spend","User U000005 shows a small-ticket spending profile across 1 transactions totaling 35.0 INR. The user most often transacts in APAC with prepaid card payments, favors pharmacy and wellness, and is most active during late-night weekend periods. Common patterns include prepaid instrument, late-night activity, weekend spend."
U000006,9,4677.66,EUR,NA,credit card,digital subscription services,afternoon,weekday,high-value,"everyday consumer spend, prepaid instrument, late-night activity","User U000006 shows a high-value spending profile across 9 transactions totaling 4677.66 EUR. The user most often transacts in NA with credit card payments, favors digital subscription services, and is most active during afternoon weekday periods. Common patterns include everyday consumer spend, prepaid instrument, late-night activity."
U000008,6,5089.46,CAD,NA,credit card,fuel and convenience,afternoon,weekend,high-value,"weekend spend, prepaid instrument, high-value","User U000008 shows a high-value spending profile across 6 transactions totaling 5089.46 CAD. The user most often transacts in NA with credit card payments, favors fuel and convenience, and is most active during afternoon weekend periods. Common patterns include weekend spend, prepaid instrument, high-value."
U000009,8,7470.07,USD,NA,credit card,grocery retail,morning,weekday,high-value,"weekend spend, everyday consumer spend, high-value","User U000009 shows a high-value spending profile across 8 transactions totaling 7470.07 USD. The user most often transacts in NA with credit card payments, favors grocery retail, and is most active during morning weekday periods. Common patterns include weekend spend, everyday consumer spend, high-value."
U000010,15,12155.08,EUR,EMEA,debit card,general retail,evening,weekday,high-value,"everyday consumer spend, prepaid instrument, very high-value","User U000010 shows a high-value spending profile across 15 transactions totaling 12155.08 EUR. The user most often transacts in EMEA with debit card payments, favors general retail, and is most active during evening weekday periods. Common patterns include everyday consumer spend, prepaid instrument, very high-value."
U000011,3,848.5,USD,NA,credit card,general retail,evening,weekday,mid-value,"everyday consumer spend, late-night activity, weekend spend","User U000011 shows a mid-value spending profile across 3 transactions totaling 848.5 USD. The user most often transacts in NA with credit card payments, favors general retail, and is most active during evening weekday periods. Common patterns include everyday consumer spend, late-night activity, weekend spend."
U000012,3,1764.88,INR,APAC,credit card,fuel and convenience,late-night,weekday,high-value,"everyday consumer spend, late-night activity, high-value","User U000012 shows a high-value spending profile across 3 transactions totaling 1764.88 INR. The user most often transacts in APAC with credit card payments, favors fuel and convenience, and is most active during late-night weekday periods. Common patterns include everyday consumer spend, late-night activity, high-value."
U000013,5,4877.0,GBP,APAC,credit card,quick service dining,evening,weekday,high-value,"high-value, prepaid instrument, premium electronics","User U000013 shows a high-value spending profile across 5 transactions totaling 4877.0 GBP. The user most often transacts in APAC with credit card payments, favors quick service dining, and is most active during evening weekday periods. Common patterns include high-value, prepaid instrument, premium electronics."
U000014,4,6785.26,CAD,NA,credit card,education services,late-night,weekday,high-value,"late-night activity, very high-value, prepaid instrument","User U000014 shows a high-value spending profile across 4 transactions totaling 6785.26 CAD. The user most often transacts in NA with credit card payments, favors education services, and is most active during late-night weekday periods. Common patterns include late-night activity, very high-value, prepaid instrument."
U000015,10,15257.76,EUR,EMEA,credit card,quick service dining,late-night,weekday,high-value,"late-night activity, cash-like financial services, very high-value","User U000015 shows a high-value spending profile across 10 transactions totaling 15257.76 EUR. The user most often transacts in EMEA with credit card payments, favors quick service dining, and is most active during late-night weekday periods. Common patterns include late-night activity, cash-like financial services, very high-value."
U000016,6,6236.26,EUR,APAC,credit card,education services,morning,weekday,high-value,"weekend spend, prepaid instrument, very high-value","User U000016 shows a high-value spending profile across 6 transactions totaling 6236.26 EUR. The user most often transacts in APAC with credit card payments, favors education services, and is most active during morning weekday periods. Common patterns include weekend spend, prepaid instrument, very high-value."
U000017,5,619.08,EUR,EMEA,credit card,fuel and convenience,evening,weekday,mid-value,"everyday consumer spend, weekend spend, late-night activity","User U000017 shows a mid-value spending profile across 5 transactions totaling 619.08 EUR. The user most often transacts in EMEA with credit card payments, favors fuel and convenience, and is most active during evening weekday periods. Common patterns include everyday consumer spend, weekend spend, late-night activity."
U000018,5,2112.44,SGD,APAC,credit card,quick service dining,evening,weekend,mid-value,"weekend spend, prepaid instrument, high-value","User U000018 shows a mid-value spending profile across 5 transactions totaling 2112.44 SGD. The user most often transacts in APAC with credit card payments, favors quick service dining, and is most active during evening weekend periods. Common patterns include weekend spend, prepaid instrument, high-value."
U000019,9,10475.2,USD,NA,credit card,fashion retail,late-night,weekday,high-value,"high-value, weekend spend, travel-related","User U000019 shows a high-value spending profile across 9 transactions totaling 10475.2 USD. The user most often transacts in NA with credit card payments, favors fashion retail, and is most active during late-night weekday periods. Common patterns include high-value, weekend spend, travel-related."
U000020,8,3201.79,GBP,EMEA,credit card,quick service dining,late-night,weekday,mid-value,"weekend spend, late-night activity, high-value","User U000020 shows a mid-value spending profile across 8 transactions totaling 3201.79 GBP. The user most often transacts in EMEA with credit card payments, favors quick service dining, and is most active during late-night weekday periods. Common patterns include weekend spend, late-night activity, high-value."
U000021,6,973.19,USD,NA,credit card,digital subscription services,late-night,weekend,mid-value,"late-night activity, weekend spend, digital recurring","User U000021 shows a mid-value spending profile across 6 transactions totaling 973.19 USD. The user most often transacts in NA with credit card payments, favors digital subscription services, and is most active during late-night weekend periods. Common patterns include late-night activity, weekend spend, digital recurring."
U000022,7,9805.99,INR,APAC,prepaid card,education services,late-night,weekend,high-value,"weekend spend, prepaid instrument, very high-value","User U000022 shows a high-value spending profile across 7 transactions totaling 9805.99 INR. The user most often transacts in APAC with prepaid card payments, favors education services, and is most active during late-night weekend periods. Common patterns include weekend spend, prepaid instrument, very high-value."
U000023,6,12570.9,CAD,EMEA,credit card,education services,late-night,weekday,very high-value,"very high-value, late-night activity, weekend spend","User U000023 shows a very high-value spending profile across 6 transactions totaling 12570.9 CAD. The user most often transacts in EMEA with credit card payments, favors education services, and is most active during late-night weekday periods. Common patterns include very high-value, late-night activity, weekend spend."
U000024,3,4744.74,EUR,EMEA,credit card,consumer electronics,afternoon,weekday,high-value,"high-value, premium electronics, very high-value","User U000024 shows a high-value spending profile across 3 transactions totaling 4744.74 EUR. The user most often transacts in EMEA with credit card payments, favors consumer electronics, and is most active during afternoon weekday periods. Common patterns include high-value, premium electronics, very high-value."
U000025,7,570.88,EUR,APAC,prepaid card,pharmacy and wellness,evening,weekday,small-ticket,"prepaid instrument, weekend spend, everyday consumer spend","User U000025 shows a small-ticket spending profile across 7 transactions totaling 570.88 EUR. The user most often transacts in APAC with prepaid card payments, favors pharmacy and wellness, and is most active during evening weekday periods. Common patterns include prepaid instrument, weekend spend, everyday consumer spend."
U000026,7,3618.81,EUR,EMEA,credit card,digital subscription services,evening,weekday,high-value,"everyday consumer spend, digital recurring, high-value","User U000026 shows a high-value spending profile across 7 transactions totaling 3618.81 EUR. The user most often transacts in EMEA with credit card payments, favors digital subscription services, and is most active during evening weekday periods. Common patterns include everyday consumer spend, digital recurring, high-value."
U000027,3,346.78,GBP,APAC,credit card,fuel and convenience,late-night,weekday,mid-value,"late-night activity, weekend spend, everyday consumer spend","User U000027 shows a mid-value spending profile across 3 transactions totaling 346.78 GBP. The user most often transacts in APAC with credit card payments, favors fuel and convenience, and is most active during late-night weekday periods. Common patterns include late-night activity, weekend spend, everyday consumer spend."
U000028,8,3134.83,USD,NA,credit card,pharmacy and wellness,morning,weekday,mid-value,"everyday consumer spend, weekend spend, high-value","User U000028 shows a mid-value spending profile across 8 transactions totaling 3134.83 USD. The user most often transacts in NA with credit card payments, favors pharmacy and wellness, and is most active during morning weekday periods. Common patterns include everyday consumer spend, weekend spend, high-value."
U000029,7,15612.01,EUR,EMEA,credit card,education services,evening,weekend,very high-value,"weekend spend, travel-related, very high-value","User U000029 shows a very high-value spending profile across 7 transactions totaling 15612.01 EUR. The user most often transacts in EMEA with credit card payments, favors education services, and is most active during evening weekend periods. Common patterns include weekend spend, travel-related, very high-value."
U000030,8,1429.25,GBP,EMEA,credit card,quick service dining,evening,weekday,mid-value,"late-night activity, weekend spend, prepaid instrument","User U000030 shows a mid-value spending profile across 8 transactions totaling 1429.25 GBP. The user most often transacts in EMEA with credit card payments, favors quick service dining, and is most active during evening weekday periods. Common patterns include late-night activity, weekend spend, prepaid instrument."
U000031,6,1887.93,USD,NA,credit card,grocery retail,evening,weekday,mid-value,"prepaid instrument, late-night activity, everyday consumer spend","User U000031 shows a mid-value spending profile across 6 transactions totaling 1887.93 USD. The user most often transacts in NA with credit card payments, favors grocery retail, and is most active during evening weekday periods. Common patterns include prepaid instrument, late-night activity, everyday consumer spend."
