tran_sequence_number,Transaction_Amount,transaction_currency_code,card_type,ICA_code,issr_id,acquirer_id,transaction_date,transaction_time,transaction_narration
TXN20250213000001,1198.16,EUR,CREDIT,100100,ISSR_ES_145,ACQ_EMEA_502,2025-02-13,20:39:48,"This transaction was a high-value credit card payment of 1198.16 EUR at ElectroHub Madrid 100, a consumer electronics merchant in Madrid, ES, within the EMEA region. It took place on 2025-02-13 during evening weekday hours and can be described as high-value, premium electronics."
TXN20250218000002,4478.88,SGD,CREDIT,100176,ISSR_SG_158,ACQ_APAC_703,2025-02-18,18:24:31,"This transaction was a very high-value credit card payment of 4478.88 SGD at FinServe Online Singapore 176, a financial services merchant in Singapore, SG, within the APAC region. It took place on 2025-02-18 during evening weekday hours and can be described as very high-value, cash-like financial services."
TXN20250305000003,29,JPY,CREDIT,100125,ISSR_JP_287,ACQ_APAC_703,2025-03-05,02:48:16,"This transaction was a small-ticket credit card payment of 29 JPY at QuickBite Osaka 125, a quick service dining merchant in Osaka, JP, within the APAC region. It took place on 2025-03-05 during late-night weekday hours and can be described as late-night activity."
TXN20250320000004,1746.07,EUR,PREPAID,100025,ISSR_ES_241,ACQ_EMEA_502,2025-03-20,01:40:12,"This transaction was a high-value prepaid card payment of 1746.07 EUR at FinServe Online Madrid 025, a financial services merchant in Madrid, ES, within the EMEA region. It took place on 2025-03-20 during late-night weekday hours and can be described as high-value, cash-like financial services, prepaid instrument, late-night activity."
TXN20250127000005,33.02,EUR,CREDIT,100122,ISSR_FR_229,ACQ_EMEA_502,2025-01-27,03:43:29,"This transaction was a small-ticket credit card payment of 33.02 EUR at UrbanTable Paris 122, a restaurant dining merchant in Paris, FR, within the EMEA region. It took place on 2025-01-27 during late-night weekday hours and can be described as late-night activity."
TXN20250208000006,73.91,USD,DEBIT,100055,ISSR_US_205,ACQ_NA_403,2025-02-08,23:04:48,"This transaction was a small-ticket debit card payment of 73.91 USD at FreshMart San Francisco 055, a grocery retail merchant in San Francisco, US, within the NA region. It took place on 2025-02-08 during late-night weekend hours and can be described as weekend spend."
TXN20250314000007,3894.68,EUR,CREDIT,100192,ISSR_FR_229,ACQ_EMEA_501,2025-03-14,05:50:53,"This transaction was a very high-value credit card payment of 3894.68 EUR at EduPrime Paris 192, a education services merchant in Paris, FR, within the EMEA region. It took place on 2025-03-14 during late-night weekday hours and can be described as very high-value, late-night activity."
TXN20250116000008,66.67,GBP,CREDIT,100168,ISSR_GB_118,ACQ_EMEA_501,2025-01-16,23:23:15,"This transaction was a small-ticket credit card payment of 66.67 GBP at MetroFuel London 168, a fuel and convenience merchant in London, GB, within the EMEA region. It took place on 2025-01-16 during late-night weekday hours and can be described as everyday consumer spend."
TXN20250319000009,22.92,CAD,DEBIT,100093,ISSR_CA_214,ACQ_NA_401,2025-03-19,04:40:40,"This transaction was a small-ticket debit card payment of 22.92 CAD at QuickBite Toronto 093, a quick service dining merchant in Toronto, CA, within the NA region. It took place on 2025-03-19 during late-night weekday hours and can be described as late-night activity."
TXN20250218000010,763.16,GBP,CREDIT,100054,ISSR_GB_224,ACQ_EMEA_502,2025-02-18,15:07:40,"This transaction was a high-value credit card payment of 763.16 GBP at ElectroHub Manchester 054, a consumer electronics merchant in Manchester, GB, within the EMEA region. It took place on 2025-02-18 during afternoon weekday hours and can be described as high-value, premium electronics."
TXN20250225000011,1185.21,EUR,CREDIT,100062,ISSR_ES_145,ACQ_EMEA_503,2025-02-25,13:40:02,"This transaction was a high-value credit card payment of 1185.21 EUR at ElectroHub Madrid 062, a consumer electronics merchant in Madrid, ES, within the EMEA region. It took place on 2025-02-25 during afternoon weekday hours and can be described as high-value, premium electronics."
TXN20250119000012,53.09,USD,PREPAID,100057,ISSR_US_319,ACQ_NA_401,2025-01-19,20:01:18,"This transaction was a small-ticket prepaid card payment of 53.09 USD at UrbanTable New York 057, a restaurant dining merchant in New York, US, within the NA region. It took place on 2025-01-19 during evening weekend hours and can be described as prepaid instrument, weekend spend."
