userid,tran_sequence_number
U000422,TXN20250213000001
U000809,TXN20250218000002
U000720,TXN20250305000003
U000746,TXN20250320000004
U000839,TXN20250127000005
U000465,TXN20250208000006
U000818,TXN20250314000007
U000583,TXN20250116000008
U000818,TXN20250319000009
U000030,TXN20250218000010
U000622,TXN20250225000011
U000100,TXN20250119000012
U000383,TXN20250131000013
U000615,TXN20250228000014
U000331,TXN20250106000015
U000736,TXN20250217000016
U000003,TXN20250222000017
U000680,TXN20250313000018
U000530,TXN20250328000019
U000035,TXN20250215000020
U000487,TXN20250222000021
U000705,TXN20250106000022
U000086,TXN20250117000023
U000222,TXN20250316000024
U000515,TXN20250225000025
U000023,TXN20250120000026
U000032,TXN20250127000027
U000354,TXN20250225000028
U000421,TXN20250327000029
U000451,TXN20250306000030
U000012,TXN20250303000031
U000522,TXN20250319000032
U000591,TXN20250223000033
U000243,TXN20250204000034
U000441,TXN20250112000035
U000051,TXN20250126000036
U000835,TXN20250117000037
U000696,TXN20250124000038
U000232,TXN20250226000039
U000452,TXN20250330000040
U000010,TXN20250304000041
U000420,TXN20250130000042
U000476,TXN20250314000043
U000452,TXN20250202000044
U000162,TXN20250212000045
U000785,TXN20250223000046
U000185,TXN20250210000047
U000392,TXN20250320000048
U000774,TXN20250218000049
U000205,TXN20250221000050
U000840,TXN20250331000051
U000058,TXN20250214000052
U000723,TXN20250307000053
U000580,TXN20250115000054
U000776,TXN20250324000055
U000721,TXN20250312000056
U000785,TXN20250116000057
U000574,TXN20250322000058
U000531,TXN20250316000059
U000412,TXN20250214000060
U000634,TXN20250318000061
U000131,TXN20250321000062
U000691,TXN20250314000063
U000684,TXN20250320000064
U000322,TXN20250324000065
U000134,TXN20250325000066
U000170,TXN20250130000067
U000571,TXN20250101000068
U000205,TXN20250218000069
U000627,TXN20250204000070
U000190,TXN20250321000071
U000091,TXN20250322000072
U000107,TXN20250110000073
U000362,TXN20250126000074
U000179,TXN20250121000075
U000658,TXN20250107000076
U000170,TXN20250217000077
U000763,TXN20250319000078
U000014,TXN20250131000079
U000305,TXN20250217000080
U000054,TXN20250214000081
U000656,TXN20250130000082
U000474,TXN20250214000083
U000739,TXN20250227000084
U000218,TXN20250305000085
U000016,TXN20250227000086
U000676,TXN20250130000087
U000341,TXN20250317000088
U000200,TXN20250308000089
U000503,TXN20250203000090
U000829,TXN20250330000091
U000579,TXN20250109000092
U000053,TXN20250202000093
U000165,TXN20250211000094
U000584,TXN20250101000095
U000344,TXN20250113000096
U000517,TXN20250122000097
U000781,TXN20250112000098
U000507,TXN20250117000099
U000262,TXN20250322000100
U000765,TXN20250324000101
U000783,TXN20250317000102
U000758,TXN20250120000103
U000521,TXN20250302000104
U000289,TXN20250105000105
U000557,TXN20250213000106
U000180,TXN20250224000107
U000375,TXN20250303000108
U000736,TXN20250323000109
U000117,TXN20250124000110
U000193,TXN20250123000111
U000318,TXN20250222000112
U000556,TXN20250210000113
U000258,TXN20250312000114
U000420,TXN20250118000115
U000821,TXN20250322000116
U000424,TXN20250323000117
U000491,TXN20250226000118
U000621,TXN20250109000119
U000251,TXN20250311000120
U000135,TXN20250113000121
U000490,TXN20250329000122
U000040,TXN20250201000123
U000660,TXN20250223000124
U000534,TXN20250212000125
U000672,TXN20250313000126
U000026,TXN20250218000127
U000257,TXN20250118000128
U000449,TXN20250326000129
U000529,TXN20250309000130
U000041,TXN20250202000131
U000135,TXN20250209000132
U000276,TXN20250111000133
U000016,TXN20250211000134
U000289,TXN20250331000135
U000678,TXN20250307000136
U000438,TXN20250301000137
U000242,TXN20250227000138
U000830,TXN20250323000139
U000619,TXN20250214000140
U000083,TXN20250306000141
U000822,TXN20250204000142
U000105,TXN20250112000143
U000314,TXN20250116000144
U000357,TXN20250116000145
U000489,TXN20250119000146
U000821,TXN20250215000147
U000782,TXN20250315000148
U000411,TXN20250325000149
U000285,TXN20250227000150
U000129,TXN20250304000151
U000055,TXN20250112000152
U000836,TXN20250309000153
U000656,TXN20250330000154
U000584,TXN20250325000155
U000769,TXN20250214000156
U000677,TXN20250312000157
U000385,TXN20250121000158
U000071,TXN20250120000159
U000811,TXN20250208000160
U000635,TXN20250111000161
U000837,TXN20250320000162
U000268,TXN20250304000163
U000696,TXN20250226000164
U000405,TXN20250122000165
U000665,TXN20250222000166
U000275,TXN20250118000167
U000516,TXN20250227000168
U000657,TXN20250117000169
U000242,TXN20250107000170
U000407,TXN20250129000171
U000335,TXN20250304000172
U000245,TXN20250323000173
U000228,TXN20250113000174
U000092,TXN20250212000175
U000745,TXN20250104000176
U000749,TXN20250221000177
U000069,TXN20250213000178
U000721,TXN20250204000179
U000209,TXN20250215000180
U000695,TXN20250106000181
