merchant_id,merchant_name,merchant_category_text,merchant_city,merchant_country_code,merchant_region_code,transaction_count,average_amount,preferred_currency_code,dominant_card_type,amount_profile,top_risk_tags,merchant_text_summary
MAE00020,EduPrime Dubai 020,education services,Dubai,AE,MEA,21,4332.34,AED,credit card,very high-value,"very high-value, weekend spend, late-night activity","EduPrime Dubai 020 is a education services merchant in Dubai, AE, within the MEA region. Across 21 transactions, it shows very high-value spend with an average transaction value of 4332.34 AED. The merchant most often sees credit card usage and is commonly associated with very high-value, weekend spend, late-night activity."
MAE00035,Luxura Retail Dubai 035,fashion retail,Dubai,AE,MEA,20,697.88,AED,credit card,high-value,"high-value, weekend spend, late-night activity","Luxura Retail Dubai 035 is a fashion retail merchant in Dubai, AE, within the MEA region. Across 20 transactions, it shows high-value spend with an average transaction value of 697.88 AED. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, late-night activity."
MAE00073,MetroFuel Dubai 073,fuel and convenience,Dubai,AE,MEA,18,91.85,AED,credit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","MetroFuel Dubai 073 is a fuel and convenience merchant in Dubai, AE, within the MEA region. Across 18 transactions, it shows small-ticket spend with an average transaction value of 91.85 AED. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MAE00076,MarketSquare Dubai 076,general retail,Dubai,AE,MEA,18,200.98,AED,credit card,mid-value,"everyday consumer spend, late-night activity, weekend spend","MarketSquare Dubai 076 is a general retail merchant in Dubai, AE, within the MEA region. Across 18 transactions, it shows mid-value spend with an average transaction value of 200.98 AED. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MAE00090,CloudStay Dubai 090,lodging and hospitality,Dubai,AE,MEA,17,794.0,AED,credit card,high-value,"travel-related, high-value, late-night activity","CloudStay Dubai 090 is a lodging and hospitality merchant in Dubai, AE, within the MEA region. Across 17 transactions, it shows high-value spend with an average transaction value of 794.0 AED. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, late-night activity."
MAE00126,QuickBite Dubai 126,quick service dining,Dubai,AE,MEA,24,23.33,AED,debit card,small-ticket,"everyday consumer spend, prepaid instrument, late-night activity","QuickBite Dubai 126 is a quick service dining merchant in Dubai, AE, within the MEA region. Across 24 transactions, it shows small-ticket spend with an average transaction value of 23.33 AED. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, prepaid instrument, late-night activity."
MAE00127,FreshMart Dubai 127,grocery retail,Dubai,AE,MEA,12,102.98,AED,debit card,mid-value,"late-night activity, everyday consumer spend, weekend spend","FreshMart Dubai 127 is a grocery retail merchant in Dubai, AE, within the MEA region. Across 12 transactions, it shows mid-value spend with an average transaction value of 102.98 AED. The merchant most often sees debit card usage and is commonly associated with late-night activity, everyday consumer spend, weekend spend."
MAE00170,FreshMart Dubai 170,grocery retail,Dubai,AE,MEA,12,56.91,AED,debit card,small-ticket,"weekend spend, prepaid instrument, everyday consumer spend","FreshMart Dubai 170 is a grocery retail merchant in Dubai, AE, within the MEA region. Across 12 transactions, it shows small-ticket spend with an average transaction value of 56.91 AED. The merchant most often sees debit card usage and is commonly associated with weekend spend, prepaid instrument, everyday consumer spend."
MAE00205,FinServe Online Dubai 205,financial services,Dubai,AE,MEA,12,2864.22,AED,prepaid card,very high-value,"cash-like financial services, very high-value, prepaid instrument","FinServe Online Dubai 205 is a financial services merchant in Dubai, AE, within the MEA region. Across 12 transactions, it shows very high-value spend with an average transaction value of 2864.22 AED. The merchant most often sees prepaid card usage and is commonly associated with cash-like financial services, very high-value, prepaid instrument."
MAE00208,EduPrime Dubai 208,education services,Dubai,AE,MEA,25,3564.54,AED,credit card,very high-value,"very high-value, late-night activity, weekend spend","EduPrime Dubai 208 is a education services merchant in Dubai, AE, within the MEA region. Across 25 transactions, it shows very high-value spend with an average transaction value of 3564.54 AED. The merchant most often sees credit card usage and is commonly associated with very high-value, late-night activity, weekend spend."
MAU00005,QuickBite Melbourne 005,quick service dining,Melbourne,AU,APAC,19,22.2,AUD,credit card,small-ticket,"everyday consumer spend, weekend spend, prepaid instrument","QuickBite Melbourne 005 is a quick service dining merchant in Melbourne, AU, within the APAC region. Across 19 transactions, it shows small-ticket spend with an average transaction value of 22.2 AUD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, prepaid instrument."
MAU00024,CloudStay Melbourne 024,lodging and hospitality,Melbourne,AU,APAC,18,898.12,AUD,credit card,high-value,"travel-related, high-value, weekend spend","CloudStay Melbourne 024 is a lodging and hospitality merchant in Melbourne, AU, within the APAC region. Across 18 transactions, it shows high-value spend with an average transaction value of 898.12 AUD. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MAU00056,Luxura Retail Melbourne 056,fashion retail,Melbourne,AU,APAC,16,674.1,AUD,credit card,high-value,"high-value, weekend spend, everyday consumer spend","Luxura Retail Melbourne 056 is a fashion retail merchant in Melbourne, AU, within the APAC region. Across 16 transactions, it shows high-value spend with an average transaction value of 674.1 AUD. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, everyday consumer spend."
MAU00060,Luxura Retail Melbourne 060,fashion retail,Melbourne,AU,APAC,20,787.27,AUD,credit card,high-value,"high-value, weekend spend, late-night activity","Luxura Retail Melbourne 060 is a fashion retail merchant in Melbourne, AU, within the APAC region. Across 20 transactions, it shows high-value spend with an average transaction value of 787.27 AUD. The merchant most often sees credit card usage and is commonly associated with high-value, weekend spend, late-night activity."
MAU00075,QuickBite Sydney 075,quick service dining,Sydney,AU,APAC,23,23.48,AUD,credit card,small-ticket,"everyday consumer spend, late-night activity, prepaid instrument","QuickBite Sydney 075 is a quick service dining merchant in Sydney, AU, within the APAC region. Across 23 transactions, it shows small-ticket spend with an average transaction value of 23.48 AUD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, prepaid instrument."
MAU00084,StreamSphere Melbourne 084,digital subscription services,Melbourne,AU,APAC,16,13.16,AUD,credit card,micro-ticket,"digital recurring, weekend spend, late-night activity","StreamSphere Melbourne 084 is a digital subscription services merchant in Melbourne, AU, within the APAC region. Across 16 transactions, it shows micro-ticket spend with an average transaction value of 13.16 AUD. The merchant most often sees credit card usage and is commonly associated with digital recurring, weekend spend, late-night activity."
MAU00085,Luxura Retail Melbourne 085,fashion retail,Melbourne,AU,APAC,18,652.06,AUD,credit card,high-value,"high-value, late-night activity, everyday consumer spend","Luxura Retail Melbourne 085 is a fashion retail merchant in Melbourne, AU, within the APAC region. Across 18 transactions, it shows high-value spend with an average transaction value of 652.06 AUD. The merchant most often sees credit card usage and is commonly associated with high-value, late-night activity, everyday consumer spend."
MAU00089,MarketSquare Sydney 089,general retail,Sydney,AU,APAC,14,245.59,AUD,debit card,mid-value,"everyday consumer spend, late-night activity, prepaid instrument","MarketSquare Sydney 089 is a general retail merchant in Sydney, AU, within the APAC region. Across 14 transactions, it shows mid-value spend with an average transaction value of 245.59 AUD. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, late-night activity, prepaid instrument."
MAU00095,UrbanTable Sydney 095,restaurant dining,Sydney,AU,APAC,18,133.8,AUD,credit card,mid-value,"everyday consumer spend, late-night activity, weekend spend","UrbanTable Sydney 095 is a restaurant dining merchant in Sydney, AU, within the APAC region. Across 18 transactions, it shows mid-value spend with an average transaction value of 133.8 AUD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MAU00098,RideNow Melbourne 098,ride-hailing and local transport,Melbourne,AU,APAC,17,35.41,AUD,prepaid card,small-ticket,"prepaid instrument, everyday consumer spend, late-night activity","RideNow Melbourne 098 is a ride-hailing and local transport merchant in Melbourne, AU, within the APAC region. Across 17 transactions, it shows small-ticket spend with an average transaction value of 35.41 AUD. The merchant most often sees prepaid card usage and is commonly associated with prepaid instrument, everyday consumer spend, late-night activity."
MAU00105,PharmaDirect Melbourne 105,pharmacy and wellness,Melbourne,AU,APAC,12,101.11,AUD,debit card,mid-value,"everyday consumer spend, weekend spend, prepaid instrument","PharmaDirect Melbourne 105 is a pharmacy and wellness merchant in Melbourne, AU, within the APAC region. Across 12 transactions, it shows mid-value spend with an average transaction value of 101.11 AUD. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, prepaid instrument."
MAU00119,MarketSquare Sydney 119,general retail,Sydney,AU,APAC,13,246.96,AUD,credit card,mid-value,"everyday consumer spend, weekend spend, late-night activity","MarketSquare Sydney 119 is a general retail merchant in Sydney, AU, within the APAC region. Across 13 transactions, it shows mid-value spend with an average transaction value of 246.96 AUD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MAU00149,MarketSquare Melbourne 149,general retail,Melbourne,AU,APAC,14,210.29,AUD,credit card,mid-value,"weekend spend, everyday consumer spend, prepaid instrument","MarketSquare Melbourne 149 is a general retail merchant in Melbourne, AU, within the APAC region. Across 14 transactions, it shows mid-value spend with an average transaction value of 210.29 AUD. The merchant most often sees credit card usage and is commonly associated with weekend spend, everyday consumer spend, prepaid instrument."
MAU00172,MetroFuel Sydney 172,fuel and convenience,Sydney,AU,APAC,20,97.05,AUD,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","MetroFuel Sydney 172 is a fuel and convenience merchant in Sydney, AU, within the APAC region. Across 20 transactions, it shows small-ticket spend with an average transaction value of 97.05 AUD. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MAU00186,RideNow Melbourne 186,ride-hailing and local transport,Melbourne,AU,APAC,30,42.24,AUD,credit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","RideNow Melbourne 186 is a ride-hailing and local transport merchant in Melbourne, AU, within the APAC region. Across 30 transactions, it shows small-ticket spend with an average transaction value of 42.24 AUD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MAU00206,CloudStay Melbourne 206,lodging and hospitality,Melbourne,AU,APAC,17,947.16,AUD,credit card,high-value,"travel-related, high-value, weekend spend","CloudStay Melbourne 206 is a lodging and hospitality merchant in Melbourne, AU, within the APAC region. Across 17 transactions, it shows high-value spend with an average transaction value of 947.16 AUD. The merchant most often sees credit card usage and is commonly associated with travel-related, high-value, weekend spend."
MAU00220,UrbanTable Sydney 220,restaurant dining,Sydney,AU,APAC,10,96.82,AUD,credit card,small-ticket,"everyday consumer spend, late-night activity, weekend spend","UrbanTable Sydney 220 is a restaurant dining merchant in Sydney, AU, within the APAC region. Across 10 transactions, it shows small-ticket spend with an average transaction value of 96.82 AUD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, late-night activity, weekend spend."
MCA00014,FinServe Online Toronto 014,financial services,Toronto,CA,NA,26,2386.19,CAD,credit card,very high-value,"cash-like financial services, very high-value, high-value","FinServe Online Toronto 014 is a financial services merchant in Toronto, CA, within the NA region. Across 26 transactions, it shows very high-value spend with an average transaction value of 2386.19 CAD. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, high-value."
MCA00016,FinServe Online Vancouver 016,financial services,Vancouver,CA,NA,26,2224.59,CAD,credit card,very high-value,"cash-like financial services, very high-value, high-value","FinServe Online Vancouver 016 is a financial services merchant in Vancouver, CA, within the NA region. Across 26 transactions, it shows very high-value spend with an average transaction value of 2224.59 CAD. The merchant most often sees credit card usage and is commonly associated with cash-like financial services, very high-value, high-value."
MCA00019,QuickBite Toronto 019,quick service dining,Toronto,CA,NA,26,21.67,CAD,debit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","QuickBite Toronto 019 is a quick service dining merchant in Toronto, CA, within the NA region. Across 26 transactions, it shows small-ticket spend with an average transaction value of 21.67 CAD. The merchant most often sees debit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
MCA00044,MetroFuel Toronto 044,fuel and convenience,Toronto,CA,NA,27,90.59,CAD,credit card,small-ticket,"everyday consumer spend, weekend spend, late-night activity","MetroFuel Toronto 044 is a fuel and convenience merchant in Toronto, CA, within the NA region. Across 27 transactions, it shows small-ticket spend with an average transaction value of 90.59 CAD. The merchant most often sees credit card usage and is commonly associated with everyday consumer spend, weekend spend, late-night activity."
