tran_sequence_number,location_id
TXN20250213000001,LOC_ES_MADRID
TXN20250218000002,LOC_SG_SINGAPORE
TXN20250305000003,LOC_JP_OSAKA
TXN20250320000004,LOC_ES_MADRID
TXN20250127000005,LOC_FR_PARIS
TXN20250208000006,LOC_US_SAN_FRANCISCO
TXN20250314000007,LOC_FR_PARIS
TXN20250116000008,LOC_GB_LONDON
TXN20250319000009,LOC_CA_TORONTO
TXN20250218000010,LOC_GB_MANCHESTER
TXN20250225000011,LOC_ES_MADRID
TXN20250119000012,LOC_US_NEW_YORK
TXN20250131000013,LOC_CA_TORONTO
TXN20250228000014,LOC_ES_MADRID
TXN20250106000015,LOC_IN_BENGALURU
TXN20250217000016,LOC_US_NEW_YORK
TXN20250222000017,LOC_DE_BERLIN
TXN20250313000018,LOC_CA_VANCOUVER
TXN20250328000019,LOC_SG_SINGAPORE
TXN20250215000020,LOC_GB_LONDON
TXN20250222000021,LOC_HK_HONG_KONG
TXN20250106000022,LOC_CA_VANCOUVER
TXN20250117000023,LOC_AE_DUBAI
TXN20250316000024,LOC_IN_BENGALURU
TXN20250225000025,LOC_FR_PARIS
TXN20250120000026,LOC_JP_TOKYO
TXN20250127000027,LOC_AU_MELBOURNE
TXN20250225000028,LOC_CA_VANCOUVER
TXN20250327000029,LOC_IN_BENGALURU
TXN20250306000030,LOC_DE_BERLIN
TXN20250303000031,LOC_IN_BENGALURU
TXN20250319000032,LOC_GB_MANCHESTER
TXN20250223000033,LOC_US_SAN_FRANCISCO
TXN20250204000034,LOC_DE_BERLIN
TXN20250112000035,LOC_FR_PARIS
TXN20250126000036,LOC_GB_LONDON
TXN20250117000037,LOC_ES_MADRID
TXN20250124000038,LOC_GB_MANCHESTER
TXN20250226000039,LOC_IN_MUMBAI
TXN20250330000040,LOC_FR_PARIS
TXN20250304000041,LOC_NL_AMSTERDAM
TXN20250130000042,LOC_HK_HONG_KONG
TXN20250314000043,LOC_GB_MANCHESTER
TXN20250202000044,LOC_DE_BERLIN
TXN20250212000045,LOC_GB_MANCHESTER
TXN20250223000046,LOC_US_NEW_YORK
TXN20250210000047,LOC_IN_BENGALURU
TXN20250320000048,LOC_AU_MELBOURNE
TXN20250218000049,LOC_US_SAN_FRANCISCO
TXN20250221000050,LOC_ES_MADRID
TXN20250331000051,LOC_AU_MELBOURNE
TXN20250214000052,LOC_AE_DUBAI
TXN20250307000053,LOC_JP_TOKYO
TXN20250115000054,LOC_US_CHICAGO
TXN20250324000055,LOC_NL_AMSTERDAM
TXN20250312000056,LOC_DE_BERLIN
TXN20250116000057,LOC_US_NEW_YORK
TXN20250322000058,LOC_CA_TORONTO
TXN20250316000059,LOC_ES_MADRID
TXN20250214000060,LOC_HK_HONG_KONG
TXN20250318000061,LOC_DE_BERLIN
TXN20250321000062,LOC_AE_DUBAI
TXN20250314000063,LOC_HK_HONG_KONG
TXN20250320000064,LOC_CA_VANCOUVER
TXN20250324000065,LOC_JP_TOKYO
TXN20250325000066,LOC_AU_MELBOURNE
TXN20250130000067,LOC_CA_VANCOUVER
TXN20250101000068,LOC_DE_BERLIN
TXN20250218000069,LOC_JP_TOKYO
TXN20250204000070,LOC_US_CHICAGO
TXN20250321000071,LOC_GB_MANCHESTER
TXN20250322000072,LOC_CA_VANCOUVER
TXN20250110000073,LOC_US_SAN_FRANCISCO
TXN20250126000074,LOC_US_SAN_FRANCISCO
TXN20250121000075,LOC_IN_MUMBAI
TXN20250107000076,LOC_IN_BENGALURU
TXN20250217000077,LOC_GB_LONDON
TXN20250319000078,LOC_US_NEW_YORK
TXN20250131000079,LOC_CA_TORONTO
TXN20250217000080,LOC_HK_HONG_KONG
TXN20250214000081,LOC_CA_VANCOUVER
TXN20250130000082,LOC_AU_MELBOURNE
TXN20250214000083,LOC_US_SAN_FRANCISCO
TXN20250227000084,LOC_JP_TOKYO
TXN20250305000085,LOC_US_CHICAGO
TXN20250227000086,LOC_DE_BERLIN
TXN20250130000087,LOC_US_CHICAGO
TXN20250317000088,LOC_CA_VANCOUVER
TXN20250308000089,LOC_GB_LONDON
TXN20250203000090,LOC_GB_MANCHESTER
TXN20250330000091,LOC_US_CHICAGO
TXN20250109000092,LOC_SG_SINGAPORE
TXN20250202000093,LOC_GB_LONDON
TXN20250211000094,LOC_CA_VANCOUVER
TXN20250101000095,LOC_CA_VANCOUVER
TXN20250113000096,LOC_HK_HONG_KONG
TXN20250122000097,LOC_ES_MADRID
TXN20250112000098,LOC_FR_PARIS
TXN20250117000099,LOC_US_CHICAGO
TXN20250322000100,LOC_NL_AMSTERDAM
TXN20250324000101,LOC_IN_BENGALURU
TXN20250317000102,LOC_NL_AMSTERDAM
TXN20250120000103,LOC_SG_SINGAPORE
TXN20250302000104,LOC_CA_VANCOUVER
TXN20250105000105,LOC_DE_BERLIN
TXN20250213000106,LOC_NL_AMSTERDAM
TXN20250224000107,LOC_NL_AMSTERDAM
TXN20250303000108,LOC_CA_TORONTO
TXN20250323000109,LOC_US_CHICAGO
TXN20250124000110,LOC_CA_VANCOUVER
TXN20250123000111,LOC_ES_MADRID
TXN20250222000112,LOC_GB_MANCHESTER
TXN20250210000113,LOC_AU_SYDNEY
TXN20250312000114,LOC_JP_TOKYO
TXN20250118000115,LOC_IN_MUMBAI
TXN20250322000116,LOC_CA_VANCOUVER
TXN20250323000117,LOC_FR_PARIS
TXN20250226000118,LOC_IN_MUMBAI
TXN20250109000119,LOC_SG_SINGAPORE
TXN20250311000120,LOC_JP_TOKYO
TXN20250113000121,LOC_IN_BENGALURU
TXN20250329000122,LOC_HK_HONG_KONG
TXN20250201000123,LOC_ES_MADRID
TXN20250223000124,LOC_GB_MANCHESTER
TXN20250212000125,LOC_DE_BERLIN
TXN20250313000126,LOC_IN_BENGALURU
TXN20250218000127,LOC_NL_AMSTERDAM
TXN20250118000128,LOC_SG_SINGAPORE
TXN20250326000129,LOC_CA_VANCOUVER
TXN20250309000130,LOC_US_CHICAGO
TXN20250202000131,LOC_SG_SINGAPORE
TXN20250209000132,LOC_SG_SINGAPORE
TXN20250111000133,LOC_JP_TOKYO
TXN20250211000134,LOC_ES_MADRID
TXN20250331000135,LOC_ES_MADRID
TXN20250307000136,LOC_DE_BERLIN
TXN20250301000137,LOC_US_SAN_FRANCISCO
TXN20250227000138,LOC_IN_BENGALURU
TXN20250323000139,LOC_US_NEW_YORK
TXN20250214000140,LOC_HK_HONG_KONG
TXN20250306000141,LOC_IN_BENGALURU
TXN20250204000142,LOC_GB_LONDON
TXN20250112000143,LOC_AE_DUBAI
TXN20250116000144,LOC_ES_MADRID
TXN20250116000145,LOC_CA_VANCOUVER
TXN20250119000146,LOC_US_NEW_YORK
TXN20250215000147,LOC_DE_BERLIN
TXN20250315000148,LOC_SG_SINGAPORE
TXN20250325000149,LOC_FR_PARIS
TXN20250227000150,LOC_CA_VANCOUVER
TXN20250304000151,LOC_AU_SYDNEY
TXN20250112000152,LOC_AU_MELBOURNE
TXN20250309000153,LOC_JP_TOKYO
TXN20250330000154,LOC_JP_TOKYO
TXN20250325000155,LOC_SG_SINGAPORE
TXN20250214000156,LOC_AU_MELBOURNE
TXN20250312000157,LOC_US_CHICAGO
TXN20250121000158,LOC_GB_MANCHESTER
TXN20250120000159,LOC_JP_OSAKA
TXN20250208000160,LOC_DE_BERLIN
TXN20250111000161,LOC_IN_BENGALURU
TXN20250320000162,LOC_US_NEW_YORK
TXN20250304000163,LOC_GB_MANCHESTER
TXN20250226000164,LOC_NL_AMSTERDAM
TXN20250122000165,LOC_JP_OSAKA
TXN20250222000166,LOC_ES_MADRID
TXN20250118000167,LOC_AU_SYDNEY
TXN20250227000168,LOC_AE_DUBAI
TXN20250117000169,LOC_US_SAN_FRANCISCO
TXN20250107000170,LOC_US_NEW_YORK
TXN20250129000171,LOC_IN_MUMBAI
